potion_id,"effect_id","effect_amplifier","effect_duration"
awkward,,1,
fire_resistance,fire_resistance,1,3:00
harming,instant_damage,1,0:00
healing,instant_health,1,0:00
infested,infested,1,3:00
invisibility,invisibility,1,3:00
leaping,jump_boost,1,3:00
long_fire_resistance,fire_resistance,1,8:00
long_invisibility,invisibility,1,8:00
long_leaping,jump_boost,1,8:00
long_night_vision,night_vision,1,8:00
long_poison,poison,1,1:30
long_regeneration,regeneration,1,1:30
long_slow_falling,slow_falling,1,4:00
long_slowness,slowness,1,4:00
long_strength,strength,1,8:00
long_swiftness,speed,1,8:00
long_turtle_master,slowness+resistance,4+3,0:40
long_water_breathing,water_breathing,1,8:00
long_weakness,weakness,1,4:00
luck,luck,1,5:00
mundane,,1,
night_vision,night_vision,1,3:00
oozing,oozing,1,3:00
poison,poison,1,0:45
regeneration,regeneration,1,0:45
slow_falling,slow_falling,1,1:30
slowness,slowness,1,1:30
strength,strength,1,3:00
strong_harming,instant_damage,2,0:00
strong_healing,instant_health,2,0:00
strong_leaping,jump_boost,2,1:30
strong_poison,poison,2,0:21.6
strong_regeneration,regeneration,2,0:22.5
strong_slowness,slowness,4,0:20
strong_strength,strength,2,1:30
strong_swiftness,speed,2,1:30
strong_turtle_master,slowness+resistance,5+4,0:20
swiftness,speed,1,3:00
thick,,1,
turtle_master,slowness+resistance,4+3,0:20
water,,1,
water_breathing,water_breathing,1,3:00
weakness,weakness,1,1:30
weaving,weaving,1,3:00
wind_charged,wind_charged,1,3:00
